Prompt,Field,Type,Constraint
333,currencyrateid,integer,None
3578.27,subtotal,numeric,CHECK
286.2616,taxamt,numeric,CHECK
89.4568,freight,numeric,CHECK
3953.9884,totaldue,numeric,None
,comment,character varying,None
c701e2a6-d540-4c85-984b-f3ca5ba217bd,rowguid,uuid,None
2011-07-02 00:00:00,modifieddate,timestamp without time zone,None
112,businessentityid,integer,PRIMARY KEY
981597097,nationalidnumber,character varying,None
adventure-works\john1,loginid,character varying,None
Production Technician - WC50,jobtitle,character varying,None
1978-05-31,birthdate,date,CHECK
S,maritalstatus,character,CHECK
M,gender,character,CHECK
2009-01-01,hiredate,date,CHECK
False,salariedflag,boolean,None
91,vacationhours,smallint,CHECK
65,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
b6998410-ee0f-4307-9e6e-fe348f11012d,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/11/4/,organizationnode,character varying,None
10,stateprovinceid,integer,PRIMARY KEY
CO ,stateprovincecode,character,None
US,countryregioncode,character varying,None
False,isonlystateprovinceflag,boolean,None
Colorado,name,character varying,None
3,territoryid,integer,None
292df595-7d3c-41fb-a040-7c184d379fce,rowguid,uuid,None
2014-02-08 10:17:21.587000,modifieddate,timestamp without time zone,None
346,productid,integer,PRIMARY KEY
1598,businessentityid,integer,PRIMARY KEY
15,averageleadtime,integer,CHECK
39.28,standardprice,numeric,CHECK
41.244,lastreceiptcost,numeric,CHECK
2011-08-13 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-13 00:00:00,modifieddate,timestamp without time zone,None
514,productid,integer,PRIMARY KEY
2013-12-29 13:51:58.120000,modifieddate,timestamp without time zone,None
/3/4/,documentnode,character varying,PRIMARY KEY
371,productid,integer,PRIMARY KEY
1554,businessentityid,integer,PRIMARY KEY
19,averageleadtime,integer,CHECK
37.26,standardprice,numeric,CHECK
39.123,lastreceiptcost,numeric,CHECK
2011-07-30 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CS ,unitmeasurecode,character,None
2011-07-30 00:00:00,modifieddate,timestamp without time zone,None
INR,currencycode,character,PRIMARY KEY
Indian Rupee,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
114,businessentityid,integer,PRIMARY KEY
2009-01-13 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
11,rate,numeric,CHECK
1,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
104,businessentityid,integer,PRIMARY KEY
717889520,nationalidnumber,character varying,None
adventure-works\mary1,loginid,character varying,None
Production Technician - WC10,jobtitle,character varying,None
1986-09-19,birthdate,date,CHECK
M,maritalstatus,character,CHECK
F,gender,character,CHECK
2009-12-25,hiredate,date,CHECK
False,salariedflag,boolean,None
94,vacationhours,smallint,CHECK
67,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
6dc9f7d0-5664-4e4a-90f5-7ab85ebb02e6,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/10/2/,organizationnode,character varying,None
ID,countryregioncode,character varying,PRIMARY KEY
Indonesia,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
34,purchaseorderid,integer,PRIMARY KEY
83,purchaseorderdetailid,integer,PRIMARY KEY
2012-01-30 00:00:00,duedate,timestamp without time zone,None
550,orderqty,smallint,CHECK
525,productid,integer,None
2.3205,unitprice,numeric,CHECK
550.00,receivedqty,numeric,CHECK
550.00,rejectedqty,numeric,CHECK
2012-01-23 00:00:00,modifieddate,timestamp without time zone,None
89,currencyrateid,integer,PRIMARY KEY
2011-06-06 00:00:00,currencyratedate,timestamp without time zone,None
USD,fromcurrencycode,character,None
MXN,tocurrencycode,character,None
9.335,averagerate,numeric,None
9.3439,endofdayrate,numeric,None
2011-06-06 00:00:00,modifieddate,timestamp without time zone,None
113,addressid,integer,PRIMARY KEY
1102 Ravenwood,addressline1,character varying,None
,addressline2,character varying,None
Seattle,city,character varying,None
79,stateprovinceid,integer,None
98104,postalcode,character varying,None
<memory at 0x000001E010C03640>,spatiallocation,bytea,None
8a12573d-d7c2-4c04-bbb1-a2f050626670,rowguid,uuid,None
2009-12-15 00:00:00,modifieddate,timestamp without time zone,None
MH,countryregioncode,character varying,PRIMARY KEY
Marshall Islands,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
93,businessentityid,integer,PRIMARY KEY
93,emailaddressid,integer,PRIMARY KEY
kok-ho0@adventure-works.com,emailaddress,character varying,None
4232d44c-b42c-498e-840f-f2ae44b50f16,rowguid,uuid,None
2008-12-20 00:00:00,modifieddate,timestamp without time zone,None
147,workorderid,integer,PRIMARY KEY
752,productid,integer,PRIMARY KEY
7,operationsequence,smallint,PRIMARY KEY
60,locationid,smallint,None
2011-06-05 00:00:00,scheduledstartdate,timestamp without time zone,CHECK
2011-06-16 00:00:00,scheduledenddate,timestamp without time zone,CHECK
2011-06-05 00:00:00,actualstartdate,timestamp without time zone,CHECK
2011-06-23 00:00:00,actualenddate,timestamp without time zone,CHECK
4.0000,actualresourcehrs,numeric,CHECK
49,plannedcost,numeric,CHECK
49,actualcost,numeric,CHECK
2011-06-23 00:00:00,modifieddate,timestamp without time zone,None
94,businessentityid,integer,PRIMARY KEY
7,departmentid,smallint,PRIMARY KEY
2,shiftid,smallint,PRIMARY KEY
2008-12-12,startdate,date,"CHECK, PRIMARY KEY"
,enddate,date,CHECK
2008-12-11 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
754,productid,integer,PRIMARY KEY
7c6af643-5ce8-4929-bd5e-7821aeaaefcb,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
17,customerid,integer,PRIMARY KEY
,personid,integer,None
1018,storeid,integer,None
5,territoryid,integer,None
34db417f-1e0b-4408-9ff6-987e59d0d73c,rowguid,uuid,None
2014-09-12 11:15:07.263000,modifieddate,timestamp without time zone,None
466,businessentityid,integer,PRIMARY KEY
Scratch-Resistant Finishes Company,name,character varying,None
282,salespersonid,integer,None
'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1984</YearOpened><Specialty>Mountain</Specialty><SquareFeet>21000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>16</NumberEmployees></StoreSurvey>',demographics,xml,None
5f85023b-d708-4d44-b1a2-927a21c4cbbb,rowguid,uuid,None
2014-09-12 11:15:07.497000,modifieddate,timestamp without time zone,None
141,currencyrateid,integer,PRIMARY KEY
2011-06-10 00:00:00,currencyratedate,timestamp without time zone,None
USD,fromcurrencycode,character,None
MXN,tocurrencycode,character,None
9.31,averagerate,numeric,None
9.3109,endofdayrate,numeric,None
2011-06-10 00:00:00,modifieddate,timestamp without time zone,None
16,specialofferid,integer,PRIMARY KEY
Mountain-500 Silver Clearance Sale,description,character varying,None
0.4,discountpct,numeric,CHECK
Discontinued Product,type,character varying,None
Reseller,category,character varying,None
2014-03-31 00:00:00,startdate,timestamp without time zone,CHECK
2014-05-30 00:00:00,enddate,timestamp without time zone,CHECK
0,minqty,integer,CHECK
,maxqty,integer,CHECK
eb7cb484-bccf-4d2d-bf73-521b20014174,rowguid,uuid,None
2014-03-01 00:00:00,modifieddate,timestamp without time zone,None
33,businessentityid,integer,PRIMARY KEY
108,addressid,integer,PRIMARY KEY
2,addresstypeid,integer,PRIMARY KEY
f4085f41-e061-4d04-9758-36bade9f8d09,rowguid,uuid,None
2014-09-12 11:15:06.967000,modifieddate,timestamp without time zone,None
28,workorderid,integer,PRIMARY KEY
767,productid,integer,None
1,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-03 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-19 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-14 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-19 00:00:00,modifieddate,timestamp without time zone,None
153,businessentityid,integer,PRIMARY KEY
a93b5b68-06f8-453a-9b57-c9e956000de9,rowguid,uuid,None
2017-12-13 13:20:31.663000,modifieddate,timestamp without time zone,None
28,currencyrateid,integer,PRIMARY KEY
2011-06-02 00:00:00,currencyratedate,timestamp without time zone,None
USD,fromcurrencycode,character,None
AUD,tocurrencycode,character,None
1.5592,averagerate,numeric,None
1.5597,endofdayrate,numeric,None
2011-06-02 00:00:00,modifieddate,timestamp without time zone,None
MUR,currencycode,character,PRIMARY KEY
Mauritius Rupee,name,character varying,None
2008-04-30 00:00:00,modifieddate,timestamp without time zone,None
498,businessentityid,integer,PRIMARY KEY
Moderately-Priced Bikes Store,name,character varying,None
280,salespersonid,integer,None
'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BS</BusinessType><YearOpened>1974</YearOpened><Specialty>Mountain</Specialty><SquareFeet>39000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>39</NumberEmployees></StoreSurvey>',demographics,xml,None
05fd9119-a72e-4042-b2ce-cb512247db27,rowguid,uuid,None
2014-09-12 11:15:07.497000,modifieddate,timestamp without time zone,None
1698,businessentityid,integer,PRIMARY KEY
BUSINESS0001,accountnumber,character varying,None
Business Equipment Center,name,character varying,None
2,creditrating,smallint,CHECK
True,preferredvendorstatus,boolean,None
True,activeflag,boolean,None
,purchasingwebserviceurl,character varying,None
2011-12-23 00:00:00,modifieddate,timestamp without time zone,None
91,creditcardid,integer,PRIMARY KEY
SuperiorCard,cardtype,character varying,None
33334379129505,cardnumber,character varying,None
1,expmonth,smallint,None
2006,expyear,smallint,None
2013-07-30 00:00:00,modifieddate,timestamp without time zone,None
131,businessentityid,integer,PRIMARY KEY
273260055,nationalidnumber,character varying,None
adventure-works\baris0,loginid,character varying,None
Production Technician - WC40,jobtitle,character varying,None
1990-10-07,birthdate,date,CHECK
S,maritalstatus,character,CHECK
M,gender,character,CHECK
2009-02-15,hiredate,date,CHECK
False,salariedflag,boolean,None
72,vacationhours,smallint,CHECK
56,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
232d68bf-df58-48f9-9235-53bd4b009b4b,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/13/4/,organizationnode,character varying,None
149,businessentityid,integer,PRIMARY KEY
172,addressid,integer,PRIMARY KEY
2,addresstypeid,integer,PRIMARY KEY
22bcd91b-5233-4078-bdb9-174628c4e72c,rowguid,uuid,None
2014-09-12 11:15:06.967000,modifieddate,timestamp without time zone,None
IL,countryregioncode,character varying,PRIMARY KEY
ILS,currencycode,character,PRIMARY KEY
2014-02-08 10:17:21.510000,modifieddate,timestamp without time zone,None
329,productid,integer,PRIMARY KEY
1,productphotoid,integer,PRIMARY KEY
True,primary,boolean,None
2008-03-31 00:00:00,modifieddate,timestamp without time zone,None
98,businessentityid,integer,PRIMARY KEY
83,addressid,integer,PRIMARY KEY
2,addresstypeid,integer,PRIMARY KEY
785d1634-4f68-49e1-bbd2-8ba4558c94d2,rowguid,uuid,None
2014-09-12 11:15:06.967000,modifieddate,timestamp without time zone,None
368,productid,integer,PRIMARY KEY
1554,businessentityid,integer,PRIMARY KEY
19,averageleadtime,integer,CHECK
39.26,standardprice,numeric,CHECK
41.223,lastreceiptcost,numeric,CHECK
2011-08-29 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CS ,unitmeasurecode,character,None
2011-08-29 00:00:00,modifieddate,timestamp without time zone,None
716,productid,integer,PRIMARY KEY
2011-05-31 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2012-05-29 00:00:00,enddate,timestamp without time zone,CHECK
48.0673,listprice,numeric,CHECK
2012-05-29 00:00:00,modifieddate,timestamp without time zone,None
101,businessentityid,integer,PRIMARY KEY
2009-01-25 00:00:00,ratechangedate,timestamp without time zone,PRIMARY KEY
11,rate,numeric,CHECK
1,payfrequency,smallint,CHECK
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
158,purchaseorderid,integer,PRIMARY KEY
4,revisionnumber,smallint,None
4,status,smallint,CHECK
256,employeeid,integer,None
1688,vendorid,integer,None
4,shipmethodid,integer,None
2012-05-30 00:00:00,orderdate,timestamp without time zone,CHECK
2012-06-08 00:00:00,shipdate,timestamp without time zone,CHECK
125.748,subtotal,numeric,CHECK
10.0598,taxamt,numeric,CHECK
3.1437,freight,numeric,CHECK
2012-06-08 00:00:00,modifieddate,timestamp without time zone,None
150,productphotoid,integer,PRIMARY KEY
<memory at 0x000001E010B6A5C0>,thumbnailphoto,bytea,None
silver_chain_small.gif,thumbnailphotofilename,character varying,None
<memory at 0x000001E010B6A740>,largephoto,bytea,None
silver_chain_large.gif,largephotofilename,character varying,None
2013-04-30 00:00:00,modifieddate,timestamp without time zone,None
66,businessentityid,integer,PRIMARY KEY
66,emailaddressid,integer,PRIMARY KEY
karan0@adventure-works.com,emailaddress,character varying,None
13a1d31a-8c76-419e-81d5-0b479a2f3ad9,rowguid,uuid,None
2009-12-15 00:00:00,modifieddate,timestamp without time zone,None
136,businessentityid,integer,PRIMARY KEY
136,emailaddressid,integer,PRIMARY KEY
sylvester0@adventure-works.com,emailaddress,character varying,None
6c757321-9920-4fb6-8587-a53c64160a94,rowguid,uuid,None
2009-12-04 00:00:00,modifieddate,timestamp without time zone,None
32,purchaseorderid,integer,PRIMARY KEY
79,purchaseorderdetailid,integer,PRIMARY KEY
2012-01-22 00:00:00,duedate,timestamp without time zone,None
550,orderqty,smallint,CHECK
511,productid,integer,None
29.274,unitprice,numeric,CHECK
550.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2012-01-15 00:00:00,modifieddate,timestamp without time zone,None
283,businessentityid,integer,PRIMARY KEY
2012-08-30 00:00:00,quotadate,timestamp without time zone,PRIMARY KEY
341000,salesquota,numeric,CHECK
a3974eb0-509f-432a-8046-8e14bb175a91,rowguid,uuid,None
2012-07-16 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
713,productid,integer,PRIMARY KEY
07768f40-6e46-430f-ac1a-ff6a3629729c,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
121,businessentityid,integer,PRIMARY KEY
6d064632-168e-48cf-ba9c-65a3aeae8115,rowguid,uuid,None
2017-12-13 13:20:30.150000,modifieddate,timestamp without time zone,None
44,addressid,integer,PRIMARY KEY
4095 Cooper Dr.,addressline1,character varying,None
,addressline2,character varying,None
Kenmore,city,character varying,None
79,stateprovinceid,integer,None
98028,postalcode,character varying,None
<memory at 0x000001E010B3CD00>,spatiallocation,bytea,None
e6a218ae-516c-4cd6-a0a9-105fcd46994b,rowguid,uuid,None
2008-12-27 00:00:00,modifieddate,timestamp without time zone,None
719,productid,integer,PRIMARY KEY
2012-05-30 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2013-05-29 00:00:00,enddate,timestamp without time zone,CHECK
1301.3636,listprice,numeric,CHECK
2013-05-29 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
859,productid,integer,PRIMARY KEY
dd7d4183-2d5b-4f4d-8bdd-b2329a58d766,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
105,currencyrateid,integer,PRIMARY KEY
2011-06-08 00:00:00,currencyratedate,timestamp without time zone,None
USD,fromcurrencycode,character,None
ARS,tocurrencycode,character,None
1,averagerate,numeric,None
1.0008,endofdayrate,numeric,None
2011-06-08 00:00:00,modifieddate,timestamp without time zone,None
75,businessentityid,integer,PRIMARY KEY
984-555-0148,phonenumber,character varying,PRIMARY KEY
3,phonenumbertypeid,integer,PRIMARY KEY
2009-01-19 00:00:00,modifieddate,timestamp without time zone,None
330,businessentityid,integer,PRIMARY KEY
Major Sport Suppliers,name,character varying,None
283,salespersonid,integer,None
'<StoreSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey''><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>OS</BusinessType><YearOpened>1998</YearOpened><Specialty>Mountain</Specialty><SquareFeet>68000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>52</NumberEmployees></StoreSurvey>',demographics,xml,None
3b5f8572-43b0-42f5-86ff-e379d0769f28,rowguid,uuid,None
2014-09-12 11:15:07.497000,modifieddate,timestamp without time zone,None
383,productid,integer,PRIMARY KEY
1536,businessentityid,integer,PRIMARY KEY
15,averageleadtime,integer,CHECK
45.28,standardprice,numeric,CHECK
47.544,lastreceiptcost,numeric,CHECK
2011-08-01 00:00:00,lastreceiptdate,timestamp without time zone,None
1,minorderqty,integer,CHECK
5,maxorderqty,integer,CHECK
,onorderqty,integer,CHECK
CTN,unitmeasurecode,character,None
2011-08-01 00:00:00,modifieddate,timestamp without time zone,None
7,specialofferid,integer,PRIMARY KEY
Mountain-100 Clearance Sale,description,character varying,None
0.35,discountpct,numeric,CHECK
Discontinued Product,type,character varying,None
Reseller,category,character varying,None
2012-04-13 00:00:00,startdate,timestamp without time zone,CHECK
2012-05-29 00:00:00,enddate,timestamp without time zone,CHECK
0,minqty,integer,CHECK
,maxqty,integer,CHECK
7df15bf5-6c05-47e7-80a4-22bd1ce59a72,rowguid,uuid,None
2012-03-14 00:00:00,modifieddate,timestamp without time zone,None
3,businessentityid,integer,PRIMARY KEY
1,departmentid,smallint,PRIMARY KEY
1,shiftid,smallint,PRIMARY KEY
2007-11-11,startdate,date,"CHECK, PRIMARY KEY"
,enddate,date,CHECK
2007-11-10 00:00:00,modifieddate,timestamp without time zone,None
43706,salesorderid,integer,PRIMARY KEY
9,salesreasonid,integer,PRIMARY KEY
2011-06-02 00:00:00,modifieddate,timestamp without time zone,None
769,productid,integer,PRIMARY KEY
2012-05-30 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2013-05-29 00:00:00,enddate,timestamp without time zone,CHECK
486.7066,standardcost,numeric,CHECK
2013-05-29 00:00:00,modifieddate,timestamp without time zone,None
355,productid,integer,PRIMARY KEY
1,locationid,smallint,PRIMARY KEY
D,shelf,character varying,None
16,bin,smallint,CHECK
276,quantity,smallint,None
8ad0c765-f104-4435-afeb-0bbd74d6b08c,rowguid,uuid,None
2014-08-05 00:00:00,modifieddate,timestamp without time zone,None
50,businessentityid,integer,PRIMARY KEY
424-555-0189,phonenumber,character varying,PRIMARY KEY
3,phonenumbertypeid,integer,PRIMARY KEY
2008-01-26 00:00:00,modifieddate,timestamp without time zone,None
89,addressid,integer,PRIMARY KEY
3074 Arbor Drive,addressline1,character varying,None
,addressline2,character varying,None
Carnation,city,character varying,None
79,stateprovinceid,integer,None
98014,postalcode,character varying,None
<memory at 0x000001E010C01240>,spatiallocation,bytea,None
bf8e2fbe-1bc0-4643-9764-2903c86438ec,rowguid,uuid,None
2008-12-14 00:00:00,modifieddate,timestamp without time zone,None
1240,billofmaterialsid,integer,PRIMARY KEY
,productassemblyid,integer,CHECK
799,componentid,integer,CHECK
2010-06-09 00:00:00,startdate,timestamp without time zone,CHECK
,enddate,timestamp without time zone,CHECK
EA ,unitmeasurecode,character,None
0,bomlevel,smallint,CHECK
1.00,perassemblyqty,numeric,CHECK
2010-05-26 00:00:00,modifieddate,timestamp without time zone,None
14,workorderid,integer,PRIMARY KEY
748,productid,integer,PRIMARY KEY
7,operationsequence,smallint,PRIMARY KEY
60,locationid,smallint,None
2011-06-03 00:00:00,scheduledstartdate,timestamp without time zone,CHECK
2011-06-14 00:00:00,scheduledenddate,timestamp without time zone,CHECK
2011-06-03 00:00:00,actualstartdate,timestamp without time zone,CHECK
2011-06-19 00:00:00,actualenddate,timestamp without time zone,CHECK
4.0000,actualresourcehrs,numeric,CHECK
49,plannedcost,numeric,CHECK
49,actualcost,numeric,CHECK
2011-06-19 00:00:00,modifieddate,timestamp without time zone,None
82,businessentityid,integer,PRIMARY KEY
58791499,nationalidnumber,character varying,None
adventure-works\jack1,loginid,character varying,None
Production Technician - WC40,jobtitle,character varying,None
1973-08-29,birthdate,date,CHECK
S,maritalstatus,character,CHECK
M,gender,character,CHECK
2010-03-03,hiredate,date,CHECK
False,salariedflag,boolean,None
62,vacationhours,smallint,CHECK
51,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
d308d387-f7f3-4b5f-abda-faf5574245cd,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/7/4/,organizationnode,character varying,None
52,purchaseorderid,integer,PRIMARY KEY
118,purchaseorderdetailid,integer,PRIMARY KEY
2012-02-03 00:00:00,duedate,timestamp without time zone,None
3,orderqty,smallint,CHECK
528,productid,integer,None
38.157,unitprice,numeric,CHECK
3.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2012-01-27 00:00:00,modifieddate,timestamp without time zone,None
21,purchaseorderid,integer,PRIMARY KEY
48,purchaseorderdetailid,integer,PRIMARY KEY
2011-12-29 00:00:00,duedate,timestamp without time zone,None
550,orderqty,smallint,CHECK
351,productid,integer,None
5.775,unitprice,numeric,CHECK
550.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2011-12-22 00:00:00,modifieddate,timestamp without time zone,None
29,businessentityid,integer,PRIMARY KEY
948320468,nationalidnumber,character varying,None
adventure-works\mark1,loginid,character varying,None
Production Technician - WC60,jobtitle,character varying,None
1979-09-25,birthdate,date,CHECK
S,maritalstatus,character,CHECK
M,gender,character,CHECK
2009-01-23,hiredate,date,CHECK
False,salariedflag,boolean,None
19,vacationhours,smallint,CHECK
29,sickleavehours,smallint,CHECK
True,currentflag,boolean,None
cdb2c6df-93e5-4558-91c8-424d5e7c658b,rowguid,uuid,None
2014-06-30 00:00:00,modifieddate,timestamp without time zone,None
/3/1/1/2/,organizationnode,character varying,None
83,businessentityid,integer,PRIMARY KEY
WK/OWlkrVToVsQy4zX2K1BMzNSXgjSMEZIoP6YAG/XA=,passwordhash,character varying,None
gLhnKic=,passwordsalt,character varying,None
0f45fc55-86dc-434a-937a-9998ecfc36a4,rowguid,uuid,None
2010-02-05 00:00:00,modifieddate,timestamp without time zone,None
1,specialofferid,integer,PRIMARY KEY
745,productid,integer,PRIMARY KEY
00365938-3422-494e-b92e-c00afd691469,rowguid,uuid,None
2011-04-01 00:00:00,modifieddate,timestamp without time zone,None
279,businessentityid,integer,PRIMARY KEY
2013-11-30 00:00:00,quotadate,timestamp without time zone,PRIMARY KEY
538000,salesquota,numeric,CHECK
95b4b50b-08e7-4b71-a68c-b55f9400395b,rowguid,uuid,None
2013-10-16 00:00:00,modifieddate,timestamp without time zone,None
46,productmodelid,integer,PRIMARY KEY
HL Mountain Front Wheel,name,character varying,None
,catalogdescription,xml,None
,instructions,xml,None
cca597fb-195f-4ec5-bf5c-15b98d176f4c,rowguid,uuid,None
2012-04-30 00:00:00,modifieddate,timestamp without time zone,None
19,businessentityid,integer,PRIMARY KEY
5958edca-352f-44f4-a8f2-3bf8aff699df,rowguid,uuid,None
2017-12-13 13:20:25.447000,modifieddate,timestamp without time zone,None
61,stateprovinceid,integer,PRIMARY KEY
PR ,stateprovincecode,character,None
US,countryregioncode,character varying,None
False,isonlystateprovinceflag,boolean,None
Puerto Rico,name,character varying,None
5,territoryid,integer,None
71b87f6c-5c07-4b7f-8d8c-2c5310410579,rowguid,uuid,None
2014-02-08 10:17:21.587000,modifieddate,timestamp without time zone,None
787,productid,integer,PRIMARY KEY
2012-05-30 00:00:00,startdate,timestamp without time zone,"CHECK, PRIMARY KEY"
2013-05-29 00:00:00,enddate,timestamp without time zone,CHECK
1079.99,listprice,numeric,CHECK
2013-05-29 00:00:00,modifieddate,timestamp without time zone,None
64,purchaseorderid,integer,PRIMARY KEY
146,purchaseorderdetailid,integer,PRIMARY KEY
2012-02-07 00:00:00,duedate,timestamp without time zone,None
3,orderqty,smallint,CHECK
342,productid,integer,None
45.4755,unitprice,numeric,CHECK
3.00,receivedqty,numeric,CHECK
3.00,rejectedqty,numeric,CHECK
2012-01-31 00:00:00,modifieddate,timestamp without time zone,None
80,workorderid,integer,PRIMARY KEY
828,productid,integer,None
18,orderqty,integer,CHECK
0,scrappedqty,smallint,CHECK
2011-06-03 00:00:00,startdate,timestamp without time zone,CHECK
2011-06-19 00:00:00,enddate,timestamp without time zone,CHECK
2011-06-14 00:00:00,duedate,timestamp without time zone,None
,scrapreasonid,smallint,None
2011-06-19 00:00:00,modifieddate,timestamp without time zone,None
125,productmodelid,integer,PRIMARY KEY
HL Mountain Rear Wheel,name,character varying,None
,catalogdescription,xml,None
,instructions,xml,None
95450545-adf7-48f3-899e-964de8920dc6,rowguid,uuid,None
2012-04-30 00:00:00,modifieddate,timestamp without time zone,None
50,purchaseorderid,integer,PRIMARY KEY
113,purchaseorderdetailid,integer,PRIMARY KEY
2012-02-03 00:00:00,duedate,timestamp without time zone,None
3,orderqty,smallint,CHECK
422,productid,integer,None
47.6805,unitprice,numeric,CHECK
3.00,receivedqty,numeric,CHECK
0.00,rejectedqty,numeric,CHECK
2012-01-27 00:00:00,modifieddate,timestamp without time zone,None
33,businessentityid,integer,PRIMARY KEY
EM,persontype,character,CHECK
False,namestyle,boolean,None
,title,character varying,None
Annik,firstname,character varying,None
O,middlename,character varying,None
Stahl,lastname,character varying,None
,suffix,character varying,None
0,emailpromotion,integer,CHECK
,additionalcontactinfo,xml,None
'<IndividualSurvey xmlns=''http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey''><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>',demographics,xml,None
bfa2bdc8-208a-447b-8a4e-72a215e9e134,rowguid,uuid,None
2008-12-10 00:00:00,modifieddate,timestamp without time zone,None
43673,salesorderid,integer,PRIMARY KEY
129,salesorderdetailid,integer,PRIMARY KEY
260F-4DCF-A1,carriertrackingnumber,character varying,None
1,orderqty,smallint,CHECK
754,productid,integer,None
1,specialofferid,integer,None
874.794,unitprice,numeric,CHECK
0,unitpricediscount,numeric,CHECK
01bf67d4-7c0a-46ce-abba-bf7b5a1a2839,rowguid,uuid,None
2011-05-31 00:00:00,modifieddate,timestamp without time zone,None
109,businessentityid,integer,PRIMARY KEY
109,emailaddressid,integer,PRIMARY KEY
alice0@adventure-works.com,emailaddress,character varying,None
8c45d022-a69e-49c9-ba7b-e4b2567e7031,rowguid,uuid,None
2008-11-30 00:00:00,modifieddate,timestamp without time zone,None
129,businessentityid,integer,PRIMARY KEY
9991a7c0-f97a-4734-9e79-aadf6d7b672f,rowguid,uuid,None
2017-12-13 13:20:30.600000,modifieddate,timestamp without time zone,None
32,addressid,integer,PRIMARY KEY
26910 Indela Road,addressline1,character varying,None
,addressline2,character varying,None
Montreal,city,character varying,None
63,stateprovinceid,integer,None
H1Y 2H5,postalcode,character varying,None
<memory at 0x000001E00E73B400>,spatiallocation,bytea,None
84a95f62-3ae8-4e7e-bbd5-5a6f00cd982d,rowguid,uuid,None
2012-06-30 00:00:00,modifieddate,timestamp without time zone,None
281,businessentityid,integer,PRIMARY KEY
